법정구역,2024년02월_계_총세대수,2024년02월_계_연령구간세대수,2024년02월_계_20~29세,2024년02월_계_30~39세,2024년02월_남_총세대수,2024년02월_남_연령구간세대수,2024년02월_남_20~29세,2024년02월_남_30~39세,2024년02월_여_총세대수,2024년02월_여_연령구간세대수,2024년02월_여_20~29세,2024년02월_여_30~39세,2030_1인가구_비율,2030(여성)_1인가구_비율,2030(남성)_1인가구_비율
청운동,190.0,48.0,17,31,68.0,24.0,8,16,122.0,24.0,9,15,0.25263157894736843,0.19672131147540983,0.35294117647058826
신교동,245.0,88.0,40,48,85.0,39.0,16,23,160.0,49.0,24,25,0.35918367346938773,0.30625,0.4588235294117647
궁정동,64.0,21.0,7,14,18.0,2.0,0,2,46.0,19.0,7,12,0.328125,0.41304347826086957,0.1111111111111111
효자동,96.0,34.0,11,23,36.0,16.0,7,9,60.0,18.0,4,14,0.3541666666666667,0.3,0.4444444444444444
창성동,99.0,31.0,4,27,36.0,14.0,1,13,63.0,17.0,3,14,0.31313131313131315,0.2698412698412698,0.3888888888888889
통의동,117.0,73.0,27,46,67.0,49.0,16,33,50.0,24.0,11,13,0.6239316239316239,0.48,0.7313432835820896
적선동,7.0,2.0,0,2,5.0,0.0,0,0,2.0,2.0,0,2,0.2857142857142857,1.0,0.0
통인동,173.0,51.0,21,30,74.0,28.0,10,18,99.0,23.0,11,12,0.2947976878612717,0.23232323232323232,0.3783783783783784
누상동,483.0,161.0,51,110,185.0,66.0,18,48,298.0,95.0,33,62,0.3333333333333333,0.3187919463087248,0.3567567567567568
누하동,217.0,96.0,40,56,87.0,41.0,16,25,130.0,55.0,24,31,0.4423963133640553,0.4230769230769231,0.47126436781609193
옥인동,400.0,163.0,56,107,150.0,72.0,20,52,250.0,91.0,36,55,0.4075,0.364,0.48
체부동,222.0,77.0,26,51,99.0,35.0,10,25,123.0,42.0,16,26,0.34684684684684686,0.34146341463414637,0.35353535353535354
필운동,280.0,99.0,44,55,121.0,40.0,14,26,159.0,59.0,30,29,0.3535714285714286,0.3710691823899371,0.3305785123966942
내자동,35.0,7.0,2,5,12.0,2.0,1,1,23.0,5.0,1,4,0.2,0.21739130434782608,0.16666666666666666
사직동,537.0,158.0,59,99,213.0,79.0,29,50,324.0,79.0,30,49,0.2942271880819367,0.24382716049382716,0.37089201877934275
도렴동,2.0,1.0,0,1,2.0,1.0,0,1,0.0,0.0,0,0,0.5,0.0,0.5
당주동,51.0,5.0,1,4,18.0,4.0,1,3,33.0,1.0,0,1,0.09803921568627451,0.030303030303030304,0.2222222222222222
내수동,831.0,461.0,134,327,292.0,162.0,38,124,539.0,299.0,96,203,0.5547533092659447,0.5547309833024119,0.5547945205479452
세종로,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0
신문로1가,21.0,4.0,0,4,12.0,1.0,0,1,9.0,3.0,0,3,0.19047619047619047,0.3333333333333333,0.08333333333333333
신문로2가,208.0,65.0,20,45,83.0,25.0,8,17,125.0,40.0,12,28,0.3125,0.32,0.30120481927710846
청진동,45.0,10.0,3,7,27.0,4.0,1,3,18.0,6.0,2,4,0.2222222222222222,0.3333333333333333,0.14814814814814814
서린동,2.0,0.0,0,0,2.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0
수송동,102.0,30.0,10,20,50.0,14.0,3,11,52.0,16.0,7,9,0.29411764705882354,0.3076923076923077,0.28
중학동,2.0,0.0,0,0,1.0,0.0,0,0,1.0,0.0,0,0,0.0,0.0,0.0
종로1가,52.0,17.0,7,10,33.0,10.0,3,7,19.0,7.0,4,3,0.3269230769230769,0.3684210526315789,0.30303030303030304
공평동,1.0,0.0,0,0,1.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0
관훈동,77.0,18.0,8,10,51.0,14.0,6,8,26.0,4.0,2,2,0.23376623376623376,0.15384615384615385,0.27450980392156865
견지동,60.0,16.0,3,13,28.0,7.0,3,4,32.0,9.0,0,9,0.26666666666666666,0.28125,0.25
와룡동,37.0,0.0,0,0,27.0,0.0,0,0,10.0,0.0,0,0,0.0,0.0,0.0
권농동,48.0,7.0,1,6,31.0,4.0,0,4,17.0,3.0,1,2,0.14583333333333334,0.17647058823529413,0.12903225806451613
운니동,98.0,39.0,22,17,65.0,24.0,12,12,33.0,15.0,10,5,0.3979591836734694,0.45454545454545453,0.36923076923076925
익선동,562.0,232.0,107,125,343.0,145.0,56,89,219.0,87.0,51,36,0.4128113879003559,0.3972602739726027,0.4227405247813411
경운동,168.0,76.0,35,41,83.0,40.0,14,26,85.0,36.0,21,15,0.4523809523809524,0.4235294117647059,0.4819277108433735
관철동,205.0,115.0,60,55,151.0,74.0,35,39,54.0,41.0,25,16,0.5609756097560976,0.7592592592592593,0.4900662251655629
인사동,55.0,7.0,3,4,37.0,4.0,2,2,18.0,3.0,1,2,0.12727272727272726,0.16666666666666666,0.10810810810810811
낙원동,479.0,116.0,66,50,348.0,74.0,39,35,131.0,42.0,27,15,0.24217118997912318,0.32061068702290074,0.21264367816091953
종로2가,56.0,19.0,8,11,31.0,8.0,4,4,25.0,11.0,4,7,0.3392857142857143,0.44,0.25806451612903225
팔판동,52.0,12.0,2,10,27.0,8.0,0,8,25.0,4.0,2,2,0.23076923076923078,0.16,0.2962962962962963
삼청동,325.0,109.0,51,58,158.0,64.0,31,33,167.0,45.0,20,25,0.3353846153846154,0.2694610778443114,0.4050632911392405
안국동,78.0,20.0,6,14,35.0,13.0,4,9,43.0,7.0,2,5,0.2564102564102564,0.16279069767441862,0.37142857142857144
소격동,20.0,5.0,0,5,10.0,2.0,0,2,10.0,3.0,0,3,0.25,0.3,0.2
화동,48.0,12.0,5,7,14.0,4.0,2,2,34.0,8.0,3,5,0.25,0.23529411764705882,0.2857142857142857
사간동,38.0,7.0,2,5,22.0,3.0,0,3,16.0,4.0,2,2,0.18421052631578946,0.25,0.13636363636363635
송현동,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0
가회동,261.0,56.0,12,44,103.0,25.0,6,19,158.0,31.0,6,25,0.21455938697318008,0.1962025316455696,0.24271844660194175
재동,34.0,8.0,1,7,17.0,4.0,0,4,17.0,4.0,1,3,0.23529411764705882,0.23529411764705882,0.23529411764705882
계동,222.0,54.0,19,35,94.0,31.0,10,21,128.0,23.0,9,14,0.24324324324324326,0.1796875,0.32978723404255317
원서동,392.0,149.0,48,101,169.0,60.0,18,42,223.0,89.0,30,59,0.38010204081632654,0.3991031390134529,0.35502958579881655
훈정동,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0
묘동,23.0,2.0,0,2,22.0,2.0,0,2,1.0,0.0,0,0,0.08695652173913043,0.0,0.09090909090909091
봉익동,34.0,7.0,3,4,30.0,6.0,2,4,4.0,1.0,1,0,0.20588235294117646,0.25,0.2
돈의동,715.0,12.0,4,8,626.0,8.0,3,5,89.0,4.0,1,3,0.016783216783216783,0.0449438202247191,0.012779552715654952
장사동,53.0,9.0,2,7,47.0,8.0,2,6,6.0,1.0,0,1,0.16981132075471697,0.16666666666666666,0.1702127659574468
관수동,343.0,146.0,79,67,262.0,93.0,47,46,81.0,53.0,32,21,0.42565597667638483,0.654320987654321,0.3549618320610687
