No,name,park_type,park_area,address,given_co,city_name,county_name,town_name,x,y
11170-00044,신용산가로공원,기타,2410.0,서울특별시 용산구 한강로2가 424-1,서울특별시 용산구,서울,용산구,한강로2가,126.969082823979,37.529477309028
11200-00042,뉴타운2구역,기타,2517.0,서울특별시 성동구 상왕십리동 811-3,서울특별시 성동구,서울,성동구,상왕십리동,127.025801602563,37.5689061451172
11200-00043,뉴타운1구역,기타,2452.4,서울특별시 성동구 하왕십리동 1066-1,서울특별시 성동구,서울,성동구,하왕십리동,127.025969983309,37.568757804326
11305-00009,북한산도시자연공원,기타,84448.4,서울특별시 강북구 미아동 산108-19,서울특별시 강북구,서울,강북구,미아동,127.008412429346,37.6210804928705
11305-00056,오동도시자연공원,기타,327925.6,서울특별시 강북구 번동 산27-5,서울특별시 강북구,서울,강북구,번동,127.034338080153,37.6240457211559
11320-00001,북한산 국립공원,기타,8703000.0,서울특별시 도봉구 도봉1동 산29-2,서울특별시 도봉구,서울,도봉구,도봉동,127.012580147523,37.6792858854548
11320-00051,방학3동,기타,874.0,서울특별시 도봉구 방학동 306-24,서울특별시 도봉구,서울,도봉구,방학동,127.029241502718,37.6633405428897
11320-00052,도봉1동(1),기타,489.0,서울특별시 도봉구 도봉동 282-275,서울특별시 도봉구,서울,도봉구,도봉동,127.042807881866,37.6875140867979
11320-00053,쌍문1동,기타,180.0,서울특별시 도봉구 쌍문동 490-27,서울특별시 도봉구,서울,도봉구,쌍문동,127.016304666737,37.6545827044531
11320-00054,창5동,기타,262.0,서울특별시 도봉구 창동 700-87,서울특별시 도봉구,서울,도봉구,창동,127.038697666529,37.6520019351109
11320-00055,도봉2동,기타,316.0,서울특별시 도봉구 도봉동 630-1,서울특별시 도봉구,서울,도봉구,도봉동,127.049042171352,37.6768097502879
11320-00056,방학1동,기타,203.0,서울특별시 도봉구 방학동 265-4,서울특별시 도봉구,서울,도봉구,방학동,127.03712518184,37.6614403180132
11320-00057,도봉1동(2),기타,1583.0,서울특별시 도봉구 도봉동 638-1,서울특별시 도봉구,서울,도봉구,도봉동,127.040438422451,37.6863561759753
11320-00059,쌍문4동(2),기타,793.0,서울특별시 도봉구 쌍문동 245-2,서울특별시 도봉구,서울,도봉구,쌍문동,127.028657858806,37.6590259761491
11320-00060,쌍문2동,기타,585.0,서울특별시 도봉구 쌍문동 69-59,서울특별시 도봉구,서울,도봉구,쌍문동,127.034832182437,37.6553233506572
11320-00061,발바닥공원,기타,13879.0,서울특별시 도봉구 방학동 490-8,서울특별시 도봉구,서울,도봉구,방학동,127.028926455569,37.6593276493742
