town_name,전월세구분,건물용도,평당평균보증금,평당평균임대료,최대보증금,최소보증금,최대임대료,최소임대료
가락동,전세,단독다가구,1340,0,38000,5000,0,0
가락동,전세,아파트,3018,0,240000,14000,0,0
가락동,전세,연립다세대,2068,0,70000,6209,0,0
가락동,전세,오피스텔,2581,0,44100,11500,0,0
가리봉동,전세,단독다가구,1493,0,31000,500,0,0
가리봉동,전세,아파트,1436,0,38500,25000,0,0
가리봉동,전세,연립다세대,1477,0,25000,6825,0,0
가리봉동,전세,오피스텔,1290,0,31000,7950,0,0
가산동,전세,단독다가구,1595,0,21000,5000,0,0
가산동,전세,아파트,2389,0,52000,8500,0,0
가산동,전세,연립다세대,2550,0,31000,7000,0,0
가산동,전세,오피스텔,2586,0,32500,5202,2,0
가양동,전세,단독다가구,1020,0,50000,8000,0,0
가양동,전세,아파트,1846,0,87000,2605,0,0
가양동,전세,연립다세대,2224,0,34010,7497,0,0
가양동,전세,오피스텔,2546,0,39000,9000,0,0
가회동,전세,단독다가구,1467,0,35000,13000,0,0
갈월동,전세,단독다가구,1564,0,40000,8000,0,0
갈월동,전세,연립다세대,1475,0,45000,7600,0,0
갈월동,전세,오피스텔,2295,0,29000,19000,0,0
갈현동,전세,단독다가구,1048,0,35000,2000,0,0
갈현동,전세,아파트,1782,0,54900,8850,0,0
갈현동,전세,연립다세대,1450,0,40000,3497,0,0
갈현동,전세,오피스텔,1236,0,20000,6300,0,0
강일동,전세,아파트,1281,0,80000,6528,0,0
강일동,전세,오피스텔,1616,0,41000,5500,0,0
개봉동,전세,단독다가구,749,0,25000,1000,0,0
개봉동,전세,아파트,1653,0,65000,9000,0,0
개봉동,전세,연립다세대,1473,0,49000,5250,0,0
개봉동,전세,오피스텔,1799,0,27000,4000,0,0
개포동,전세,단독다가구,1412,0,60100,5000,0,0
개포동,전세,아파트,3403,0,290000,10000,0,0
개포동,전세,연립다세대,2428,0,70000,7000,0,0
개포동,전세,오피스텔,2371,0,43050,16000,0,0
개화동,전세,단독다가구,1116,0,47000,3000,0,0
거여동,전세,단독다가구,1167,0,70000,2000,0,0
거여동,전세,아파트,1953,0,130000,3445,0,0
거여동,전세,연립다세대,2019,0,36000,5000,0,0
거여동,전세,오피스텔,2534,0,70000,7718,0,0
견지동,전세,아파트,2269,0,113000,93000,0,0
견지동,전세,오피스텔,1876,0,23000,23000,0,0
경운동,전세,오피스텔,2208,0,30000,18000,0,0
계동,전세,단독다가구,1544,0,30000,14000,0,0
계동,전세,연립다세대,1714,0,46000,18000,0,0
고덕동,전세,단독다가구,1043,0,42000,1900,0,0
고덕동,전세,아파트,2773,0,170000,13000,0,0
고덕동,전세,연립다세대,2217,0,60000,9371,0,0
고덕동,전세,오피스텔,2957,0,38900,17000,0,0
고척동,전세,단독다가구,783,0,35000,1600,0,0
고척동,전세,아파트,1508,0,65000,4000,0,0
고척동,전세,연립다세대,1333,0,30000,5000,0,0
고척동,전세,오피스텔,1795,0,34900,4900,5,0
공덕동,전세,단독다가구,1044,0,30000,1000,0,0
공덕동,전세,아파트,2695,0,170000,6000,0,0
공덕동,전세,연립다세대,2424,0,40100,6500,0,0
공덕동,전세,오피스텔,2545,0,39500,10800,10,0
공릉동,전세,단독다가구,1263,0,45000,3000,0,0
공릉동,전세,아파트,1722,0,80000,3965,0,0
공릉동,전세,연립다세대,1385,0,80000,1500,0,0
공릉동,전세,오피스텔,1483,0,21000,8400,0,0
공항동,전세,단독다가구,915,0,45000,4000,0,0
공항동,전세,아파트,1677,0,53000,12929,0,0
공항동,전세,연립다세대,1760,0,37000,5000,0,0
공항동,전세,오피스텔,1954,0,30000,8000,0,0
관수동,전세,연립다세대,4019,0,23500,15000,0,0
관수동,전세,오피스텔,3654,0,23000,17080,0,0
관훈동,전세,단독다가구,788,0,15750,15750,0,0
광장동,전세,단독다가구,1409,0,105000,3000,0,0
광장동,전세,아파트,2526,0,160000,5000,0,0
광장동,전세,연립다세대,2076,0,125000,7500,0,0
광장동,전세,오피스텔,1667,0,52000,10000,0,0
광희동1가,전세,오피스텔,2364,0,26000,8000,0,0
광희동2가,전세,단독다가구,1201,0,31500,6000,0,0
광희동2가,전세,연립다세대,2237,0,29000,12500,0,0
광희동2가,전세,오피스텔,1700,0,22000,7000,0,0
교북동,전세,아파트,4012,0,69000,37000,0,0
교북동,전세,오피스텔,3263,1,37000,1000,100,0
구기동,전세,단독다가구,1405,0,60000,15000,0,0
