,stop_No,name,mobile_code,x,y,city_code,city_name,county_name,town_name
1740,GGB101000141,을지로입구역.광교,2246.0,126.9824667,37.5675333,11,서울,중구,다동
1762,GGB101000290,시청앞.덕수궁,2286.0,126.9768833,37.56625,11,서울,중구,정동
1785,GGB101000046,남대문시장.회현역,2145.0,126.9777667,37.5583167,11,서울,중구,남창동
1786,GGB101000047,남대문시장.회현역,2146.0,126.9777167,37.5578167,11,서울,중구,남창동
1823,GGB101000078,충무아트센터.스포츠센터.중부소방서,2178.0,127.0147333,37.5650667,11,서울,중구,무학동
1824,GGB101000163,방산종합시장,2272.0,127.0019167,37.5678333,11,서울,중구,방산동
1826,GGB277101885,염천교사거리(경유),0.0,126.9716667,37.55935,11,서울,중구,순화동
1827,GGB277101993,경찰서앞교차로(경유),0.0,126.97005,37.5618667,11,서울,중구,순화동
1828,GGB101000077,충무아트센터.스포츠센터.중부소방서,2177.0,127.0140333,37.5652333,11,서울,중구,신당동
1829,GGB101000082,신당역.중앙시장앞,2182.0,127.0194333,37.56555,11,서울,중구,신당동
1830,GGB101000084,성동고등학교,2184.0,127.0225333,37.56525,11,서울,중구,신당동
1831,GGB101000147,도로교통공단앞,2252.0,127.02485,37.56495,11,서울,중구,신당동
1841,GGB101000328,남산1호터널,2289.0,126.9922,37.5574,11,서울,중구,예장동
1842,GGB277104181,남산1호터널TG(경유),0.0,126.9927167,37.5557,11,서울,중구,예장동
1843,GGB277104186,남산1호터널TG(경유),0.0,126.99315,37.55585,11,서울,중구,예장동
2204,GGB112000365,충정로역,13766.0,126.9645,37.5596167,11,서울,중구,중림동
2205,GGB101000013,서울역서부,2105.0,126.9692,37.55705,11,서울,중구,중림동
2206,GGB101000015,종근당.충정로역,2107.0,126.9644833,37.5596167,11,서울,중구,중림동
2207,GGB101000016,한국경제신문사,2108.0,126.96775,37.5604667,11,서울,중구,중림동
2208,GGB101000017,한국경제신문사,2109.0,126.9680833,37.56065,11,서울,중구,중림동
2209,ICB101000015,종근당.충정로역,11002.0,126.964556,37.559617,23,서울,중구,중림동
2315,GGB101000081,신당역.중앙시장앞,2181.0,127.0187333,37.5657667,11,서울,중구,황학동
2316,GGB101000083,성동고등학교,2183.0,127.02205,37.5656,11,서울,중구,황학동
2317,GGB101000001,남대문세무서.서울백병원(중),2001.0,126.9875333,37.5649667,11,서울,중구,저동1가
2318,GGB101000002,서울백병원.국가인권위.안중근활동터(중),2002.0,126.98785,37.5643167,11,서울,중구,저동1가
2400,GGB101000036,서소문,2133.0,126.9748833,37.56325,11,서울,중구,서소문동
2401,GGB101000038,시청.서소문청사,2135.0,126.9749667,37.56355,11,서울,중구,서소문동
2402,GGB101000269,서울역,2694.0,126.97205,37.55805,11,서울,중구,봉래동1가
2403,GGB101000329,숭례문(경유),2099.0,126.9744667,37.5598,11,서울,중구,봉래동1가
2404,GGB101000004,서울역버스환승센터,2004.0,126.9725,37.5555167,11,서울,중구,봉래동2가
2405,GGB101000005,서울역버스환승센터(5번승강장)(중),2005.0,126.9726833,37.55515,11,서울,중구,봉래동2가
2406,GGB101000006,서울역버스환승센터(6번승강장)(중),2006.0,126.9727333,37.55515,11,서울,중구,봉래동2가
2407,GGB101000007,서울역버스환승센터.강우규의거터,2007.0,126.9730667,37.5555167,11,서울,중구,봉래동2가
2408,GGB101000250,서울역,2685.0,126.97135,37.55815,11,서울,중구,봉래동2가
2409,GGB101000263,서울스퀘어앞,2282.0,126.9732667,37.5553833,11,서울,중구,봉래동2가
2410,ICB101000250,서울역,11013.0,126.971821,37.557206,23,서울,중구,봉래동2가
2507,GGB101000058,을지로입구.시청입구,2157.0,126.9810833,37.56615,11,서울,중구,을지로1가
2508,GGB101000303,서울시청,2100.0,126.9807667,37.56615,11,서울,중구,을지로1가
2509,GGB101000057,을지로입구.로얄호텔,2156.0,126.9852833,37.5659833,11,서울,중구,을지로2가
2510,GGB101000059,을지로2가.기업은행본점.서울노동청,2158.0,126.9865333,37.56625,11,서울,중구,을지로2가
2511,GGB101000060,을지로2가.파인에비뉴,2159.0,126.9888167,37.56605,11,서울,중구,을지로2가
2512,GGB101000292,남대문세무서.국가인권위원회,2287.0,126.9878,37.5652333,11,서울,중구,을지로2가
2513,GGB277104376,SKT타워(경유),0.0,126.9852667,37.5662167,11,서울,중구,을지로2가
2514,GGB101000061,을지로3가,2160.0,126.9903667,37.5663833,11,서울,중구,을지로3가
2515,GGB101000062,을지로3가,2161.0,126.9912833,37.5661667,11,서울,중구,을지로3가
2516,GGB101000063,을지로4가,2162.0,126.9962167,37.5666833,11,서울,중구,을지로4가
2517,GGB101000064,을지로4가.베스트웨스턴국도,2163.0,126.9968333,37.5664333,11,서울,중구,을지로4가
2518,GGB101000066,방산시장.을지로4가역6번출구,2165.0,126.99925,37.56685,11,서울,중구,을지로4가
2519,GGB101000067,을지로5가.중부시장,2166.0,127.0011,37.5666667,11,서울,중구,을지로5가
2520,GGB101000070,을지로6가.국립중앙의료원,2169.0,127.0063667,37.5661333,11,서울,중구,을지로6가
2521,GGB101000073,을지로6가.국립중앙의료원,2172.0,127.0058333,37.5665,11,서울,중구,을지로6가
2522,GGB101000075,동대문역사문화공원,2174.0,127.0088,37.5672833,11,서울,중구,을지로7가
2523,GGB101000130,동대문역사문화공원,2235.0,127.0091167,37.5654833,11,서울,중구,을지로7가
2524,GGB112000399,경찰청.동북아역사재단(중),13039.0,126.96925,37.5624833,11,서울,중구,의주로1가
2525,GGB101000018,경찰청.동북아역사재단,2110.0,126.96915,37.5630333,11,서울,중구,의주로1가
2526,GGB101000020,서대문경찰서.농협은행.유관순활동터,2113.0,126.9677333,37.56495,11,서울,중구,의주로1가
2527,GGB277101975,경찰청앞교차로(경유),0.0,126.9698333,37.56225,11,서울,중구,의주로1가
2528,GGB101000045,신세계백화점,2144.0,126.9815167,37.5608,11,서울,중구,충무로1가
2529,GGB101000262,서대문역사거리.농협중앙회,2281.0,126.9679167,37.5668,11,서울,중구,충정로1가
2530,GGB101000039,서울신문사,2137.0,126.9773667,37.5684,11,서울,중구,태평로1가
2531,GGB101900006,프레스센터,2507.0,126.97735,37.5675,11,서울,중구,태평로1가
2532,GGB101000033,시청앞,2128.0,126.9766,37.56235,11,서울,중구,태평로2가
2533,GGB101000034,삼성본관앞,2131.0,126.9759,37.5620667,11,서울,중구,태평로2가
2534,GGB101000035,시청앞,2132.0,126.9762167,37.5628667,11,서울,중구,태평로2가
2535,GGB101000128,신한은행본점,2233.0,126.9755167,37.5611167,11,서울,중구,태평로2가
2536,GGB277104283,시청교차로(경유),0.0,126.9767667,37.56455,11,서울,중구,태평로2가
2540,GGB101000048,남산3호터널,2147.0,126.9826833,37.5585333,11,서울,중구,회현동2가
2541,GGB101000049,남산3호터널.서울애니메이션센터,2148.0,126.9827,37.5595,11,서울,중구,회현동2가
2542,GGB101000040,우리은행종로지점,2139.0,126.9829333,37.5676833,11,서울,중구,남대문로1가
2543,GGB101000041,롯데백화점,2140.0,126.98215,37.5644667,11,서울,중구,남대문로2가
2544,GGB101000042,해운센터.롯데영프라자,2141.0,126.9814833,37.5627,11,서울,중구,남대문로2가
2545,GGB101000043,롯데영프라자,2142.0,126.9820833,37.5630333,11,서울,중구,남대문로2가
2546,GGB101000148,명동입구,2253.0,126.9826,37.5646833,11,서울,중구,남대문로2가
2547,GGB101000031,남대문시장,2126.0,126.97995,37.5612667,11,서울,중구,남대문로3가
2548,GGB101000032,북창동.남대문시장,2127.0,126.9781833,37.5612,11,서울,중구,남대문로3가
2549,GGB101000114,남대문시장앞.이회영활동터,2219.0,126.9787333,37.5610167,11,서울,중구,남대문로3가
2550,GGB101000254,한국은행.신세계앞,2278.0,126.9792833,37.56145,11,서울,중구,남대문로3가
2551,GGB277102114,남대문로3가(경유),0.0,126.9789833,37.56105,11,서울,중구,남대문로3가
2552,GGB101000264,북창동.남대문시장,2283.0,126.9771667,37.5609667,11,서울,중구,남대문로4가
2553,GGB277102115,숭례문교차로(경유),0.0,126.9754333,37.5603667,11,서울,중구,남대문로4가
2554,GGB101000008,숭례문(중),2008.0,126.9736833,37.5584667,11,서울,중구,남대문로5가
2555,GGB101000022,숭례문,2117.0,126.9731167,37.5581167,11,서울,중구,남대문로5가
2556,GGB101000023,숭례문.한국일보,2118.0,126.97375,37.5588,11,서울,중구,남대문로5가
2557,GGB101000025,후암삼거리,2120.0,126.9760833,37.5533833,11,서울,중구,남대문로5가
2558,GGB101000026,숭례문,2121.0,126.9744,37.5587833,11,서울,중구,남대문로5가
2559,GGB101000027,숭례문,2122.0,126.9741,37.55845,11,서울,중구,남대문로5가
2560,GGB101000028,숭례문,2123.0,126.9737,37.558,11,서울,중구,남대문로5가
2561,GGB101000113,남대문경찰서,2218.0,126.9737167,37.5540333,11,서울,중구,남대문로5가
2562,GGB277101742,서울역교차로(경유),0.0,126.9726333,37.5571,11,서울,중구,남대문로5가
3539,GGB122000230,구룡중학교앞,23334.0,127.0571667,37.4858333,11,서울,강남구,개포동
3540,GGB122000231,개포고등학교앞,23335.0,127.0585167,37.4842167,11,서울,강남구,개포동
3541,GGB122000232,개포1단지,23336.0,127.0605,37.4825833,11,서울,강남구,개포동
3542,GGB122000238,개일초등학교앞,23342.0,127.0572833,37.4860333,11,서울,강남구,개포동
3543,GGB122000239,개포고등학교,23343.0,127.0586167,37.4844167,11,서울,강남구,개포동
3544,GGB122000240,개포1단지연금매장,23344.0,127.06065,37.4827167,11,서울,강남구,개포동
3545,GGB122000241,래미안블레스티지아파트,23345.0,127.0636167,37.4802833,11,서울,강남구,개포동
3546,GGB122000245,디에이치아너힐즈,23349.0,127.0681,37.4845333,11,서울,강남구,개포동
3547,GGB122000246,주공4단지,23350.0,127.0691167,37.4838167,11,서울,강남구,개포동
3548,GGB122000247,경기여고,23351.0,127.0671,37.48655,11,서울,강남구,개포동
3549,GGB122000248,개포동역.개포시장,23352.0,127.0661,37.4885333,11,서울,강남구,개포동
3550,GGB122000249,개포주공5단지.경기여고,23353.0,127.0674333,37.48675,11,서울,강남구,개포동
3551,GGB122000250,개포동역.개포시장,23354.0,127.0665167,37.4885167,11,서울,강남구,개포동
3552,GGB122000256,개원중학교.대모산입구역2번출구,23360.0,127.07195,37.4921833,11,서울,강남구,개포동
3553,GGB122000257,개포주공7단지앞,23361.0,127.0736333,37.4890667,11,서울,강남구,개포동
3554,GGB122000291,대치아파트.대모산입구역3번출구,23395.0,127.0725833,37.4923333,11,서울,강남구,개포동
