,bjd_cd,center_point,center_long,center_lati,bjd_nm,level,sd_cd,sd_nm,sgg_cd,sgg_nm,emd_cd,emd_nm,li_nm,sgg_cnt,emd_cnt,li_cnt,sgg_list,emd_list,li_list
0,1100000000,POINT (126.9918052066339 37.551902938787826),126.9918052066339,37.55190293878783,서울특별시,0,11,서울특별시,11000.0,,11000000,,,25,467,0,"['서울특별시 종로구' '서울특별시 중구' '서울특별시 용산구' '서울특별시 성동구' '서울특별시 광진구' '서울특별시 동대문구'
 '서울특별시 중랑구' '서울특별시 성북구' '서울특별시 강북구' '서울특별시 도봉구' '서울특별시 노원구' '서울특별시 은평구'
 '서울특별시 서대문구' '서울특별시 마포구' '서울특별시 양천구' '서울특별시 강서구' '서울특별시 구로구' '서울특별시 금천구'
 '서울특별시 영등포구' '서울특별시 동작구' '서울특별시 관악구' '서울특별시 서초구' '서울특별시 강남구' '서울특별시 송파구'
 '서울특별시 강동구']",,
1,1111000000,POINT (126.97732129487213 37.59491731931452),126.97732129487213,37.59491731931452,서울특별시 종로구,1,11,서울특별시,11110.0,종로구,11110000,,,0,87,0,,"['서울특별시 종로구 청운동' '서울특별시 종로구 신교동' '서울특별시 종로구 궁정동' '서울특별시 종로구 효자동'
 '서울특별시 종로구 창성동' '서울특별시 종로구 통의동' '서울특별시 종로구 적선동' '서울특별시 종로구 통인동'
 '서울특별시 종로구 누상동' '서울특별시 종로구 누하동' '서울특별시 종로구 옥인동' '서울특별시 종로구 체부동'
 '서울특별시 종로구 필운동' '서울특별시 종로구 내자동' '서울특별시 종로구 사직동' '서울특별시 종로구 도렴동'
 '서울특별시 종로구 당주동' '서울특별시 종로구 내수동' '서울특별시 종로구 세종로' '서울특별시 종로구 신문로1가'
 '서울특별시 종로구 신문로2가' '서울특별시 종로구 청진동' '서울특별시 종로구 서린동' '서울특별시 종로구 수송동'
 '서울특별시 종로구 중학동' '서울특별시 종로구 종로1가' '서울특별시 종로구 공평동' '서울특별시 종로구 관훈동'
 '서울특별시 종로구 견지동' '서울특별시 종로구 와룡동' '서울특별시 종로구 권농동' '서울특별시 종로구 운니동'
 '서울특별시 종로구 익선동' '서울특별시 종로구 경운동' '서울특별시 종로구 관철동' '서울특별시 종로구 인사동'
 '서울특별시 종로구 낙원동' '서울특별시 종로구 종로2가' '서울특별시 종로구 팔판동' '서울특별시 종로구 삼청동'
 '서울특별시 종로구 안국동' '서울특별시 종로구 소격동' '서울특별시 종로구 화동' '서울특별시 종로구 사간동'
 '서울특별시 종로구 송현동' '서울특별시 종로구 가회동' '서울특별시 종로구 재동' '서울특별시 종로구 계동'
 '서울특별시 종로구 원서동' '서울특별시 종로구 훈정동' '서울특별시 종로구 묘동' '서울특별시 종로구 봉익동'
 '서울특별시 종로구 돈의동' '서울특별시 종로구 장사동' '서울특별시 종로구 관수동' '서울특별시 종로구 종로3가'
 '서울특별시 종로구 인의동' '서울특별시 종로구 예지동' '서울특별시 종로구 원남동' '서울특별시 종로구 연지동'
 '서울특별시 종로구 종로4가' '서울특별시 종로구 효제동' '서울특별시 종로구 종로5가' '서울특별시 종로구 종로6가'
 '서울특별시 종로구 이화동' '서울특별시 종로구 연건동' '서울특별시 종로구 충신동' '서울특별시 종로구 동숭동'
 '서울특별시 종로구 혜화동' '서울특별시 종로구 명륜1가' '서울특별시 종로구 명륜2가' '서울특별시 종로구 명륜4가'
 '서울특별시 종로구 명륜3가' '서울특별시 종로구 창신동' '서울특별시 종로구 숭인동' '서울특별시 종로구 교남동'
 '서울특별시 종로구 평동' '서울특별시 종로구 송월동' '서울특별시 종로구 홍파동' '서울특별시 종로구 교북동'
 '서울특별시 종로구 행촌동' '서울특별시 종로구 구기동' '서울특별시 종로구 평창동' '서울특별시 종로구 부암동'
 '서울특별시 종로구 홍지동' '서울특별시 종로구 신영동' '서울특별시 종로구 무악동']",
2,1111010100,POINT (126.96932389009248 37.58920545163482),126.96932389009248,37.58920545163482,서울특별시 종로구 청운동,2,11,서울특별시,11110.0,종로구,11110101,청운동,,0,0,0,,,
3,1111010200,POINT (126.96794151918255 37.58450634891726),126.96794151918256,37.58450634891726,서울특별시 종로구 신교동,2,11,서울특별시,11110.0,종로구,11110102,신교동,,0,0,0,,,
4,1111010300,POINT (126.9727063196789 37.58469795480878),126.9727063196789,37.58469795480878,서울특별시 종로구 궁정동,2,11,서울특별시,11110.0,종로구,11110103,궁정동,,0,0,0,,,
5,1111010400,POINT (126.97195272945544 37.58266755624465),126.97195272945544,37.58266755624465,서울특별시 종로구 효자동,2,11,서울특별시,11110.0,종로구,11110104,효자동,,0,0,0,,,
6,1111010500,POINT (126.97247438320997 37.58056045161147),126.97247438320996,37.58056045161147,서울특별시 종로구 창성동,2,11,서울특별시,11110.0,종로구,11110105,창성동,,0,0,0,,,
7,1111010600,POINT (126.97286981564723 37.57807740683369),126.97286981564724,37.57807740683369,서울특별시 종로구 통의동,2,11,서울특별시,11110.0,종로구,11110106,통의동,,0,0,0,,,
8,1111010700,POINT (126.9737908430541 37.575321285600985),126.9737908430541,37.575321285600985,서울특별시 종로구 적선동,2,11,서울특별시,11110.0,종로구,11110107,적선동,,0,0,0,,,
9,1111010800,POINT (126.97021938727214 37.580161372443214),126.97021938727214,37.580161372443214,서울특별시 종로구 통인동,2,11,서울특별시,11110.0,종로구,11110108,통인동,,0,0,0,,,
10,1111010900,POINT (126.96273702005307 37.58039872906021),126.96273702005308,37.58039872906021,서울특별시 종로구 누상동,2,11,서울특별시,11110.0,종로구,11110109,누상동,,0,0,0,,,
11,1111011000,POINT (126.96828404299777 37.57929005243838),126.96828404299777,37.57929005243838,서울특별시 종로구 누하동,2,11,서울특별시,11110.0,종로구,11110110,누하동,,0,0,0,,,
12,1111011100,POINT (126.96341008149724 37.58353853364109),126.96341008149724,37.58353853364109,서울특별시 종로구 옥인동,2,11,서울특별시,11110.0,종로구,11110111,옥인동,,0,0,0,,,
13,1111011200,POINT (126.97087303204206 37.57759349965921),126.97087303204206,37.57759349965921,서울특별시 종로구 체부동,2,11,서울특별시,11110.0,종로구,11110112,체부동,,0,0,0,,,
14,1111011300,POINT (126.9681452560928 37.577299434811856),126.9681452560928,37.577299434811856,서울특별시 종로구 필운동,2,11,서울특별시,11110.0,종로구,11110113,필운동,,0,0,0,,,
15,1111011400,POINT (126.97174231153433 37.5753136695521),126.97174231153431,37.5753136695521,서울특별시 종로구 내자동,2,11,서울특별시,11110.0,종로구,11110114,내자동,,0,0,0,,,
16,1111011500,POINT (126.9659572423807 37.57541165584238),126.9659572423807,37.57541165584238,서울특별시 종로구 사직동,2,11,서울특별시,11110.0,종로구,11110115,사직동,,0,0,0,,,
17,1111011600,POINT (126.97475892611477 37.573123241366375),126.97475892611476,37.573123241366375,서울특별시 종로구 도렴동,2,11,서울특별시,11110.0,종로구,11110116,도렴동,,0,0,0,,,
18,1111011700,POINT (126.97401354941897 37.571588285826834),126.97401354941896,37.571588285826834,서울특별시 종로구 당주동,2,11,서울특별시,11110.0,종로구,11110117,당주동,,0,0,0,,,
19,1111011800,POINT (126.97197171146105 37.57332521455621),126.97197171146104,37.57332521455621,서울특별시 종로구 내수동,2,11,서울특별시,11110.0,종로구,11110118,내수동,,0,0,0,,,
20,1111011900,POINT (126.97678924044386 37.58030400665684),126.97678924044386,37.58030400665684,서울특별시 종로구 세종로,2,11,서울특별시,11110.0,종로구,11110119,세종로,,0,0,0,,,
21,1111012000,POINT (126.97392196450545 37.570190180619534),126.97392196450544,37.570190180619534,서울특별시 종로구 신문로1가,2,11,서울특별시,11110.0,종로구,11110120,신문로1가,,0,0,0,,,
22,1111012100,POINT (126.96922532735066 37.57086963187709),126.96922532735066,37.57086963187709,서울특별시 종로구 신문로2가,2,11,서울특별시,11110.0,종로구,11110121,신문로2가,,0,0,0,,,
23,1111012200,POINT (126.98017892811113 37.571451088047304),126.98017892811112,37.5714510880473,서울특별시 종로구 청진동,2,11,서울특별시,11110.0,종로구,11110122,청진동,,0,0,0,,,
